init_goal,time
wp7_wp47,1.250634888005151879e+00
wp7_wp48,1.270700139997643419e+00
wp7_wp49,1.246405318001052365e+00
wp7_wp50,1.260477510004420765e+00
wp7_wp51,1.248784020004677586e+00
wp7_wp52,1.266235188006248791e+00
wp7_wp53,1.280988042002718430e+00
wp7_wp54,1.257251745999383274e+00
wp7_wp55,1.289433072000974789e+00
wp7_wp56,1.246694098001171369e+00
wp7_wp57,1.252383293998718727e+00
wp7_wp58,1.256014055004925467e+00
wp8_wp1,1.244058135998784564e+00
wp8_wp2,1.251866719998361077e+00
wp8_wp3,1.243789432002813555e+00
wp8_wp4,1.234047527002985589e+00
wp8_wp5,1.247237905998190399e+00
wp8_wp6,1.243256776004272979e+00
wp8_wp7,1.247694530000444502e+00
wp8_wp9,1.236855030998412985e+00
wp8_wp10,1.245370216005539987e+00
wp8_wp11,1.252211117003753316e+00
wp8_wp12,1.250910557995666750e+00
wp8_wp13,1.251373248000163585e+00
wp8_wp14,1.255872524998267181e+00
wp8_wp15,1.270069247999344952e+00
wp8_wp16,1.259293539995269384e+00
wp8_wp17,1.256082621999667026e+00
wp8_wp18,1.267092267997213639e+00
wp8_wp19,1.258917136998206843e+00
wp8_wp21,1.255212165000557434e+00
wp8_wp22,1.254222777002723888e+00
wp8_wp23,1.266305641998769715e+00
wp8_wp24,1.263942753997980617e+00
wp8_wp25,1.240405304000887554e+00
wp8_wp26,1.248872097996354569e+00
wp8_wp27,1.244500539003638551e+00
wp8_wp28,1.250480167997011449e+00
wp8_wp29,1.242429330006416421e+00
wp8_wp30,1.247592409003118519e+00
wp8_wp31,1.246583235995785799e+00
wp8_wp32,1.243921118002617732e+00
wp8_wp33,1.243251959000190254e+00
wp8_wp34,1.240946425001311582e+00
wp8_wp35,1.255236521996266674e+00
wp8_wp36,1.252474045002600178e+00
wp8_wp37,1.251408377000188921e+00
wp8_wp38,1.241250222003145609e+00
wp8_wp39,1.249553382993326522e+00
wp8_wp40,1.243913848004012834e+00
wp8_wp42,1.253032562999578658e+00
wp8_wp43,1.250778558001911733e+00
wp8_wp44,1.259417193999979645e+00
wp8_wp45,1.256718068005284294e+00
wp8_wp46,1.245941126995603554e+00
wp8_wp47,1.259990120001020841e+00
wp8_wp48,1.246622411003045272e+00
wp8_wp49,1.250610822004091460e+00
wp8_wp50,1.254013796999061015e+00
wp8_wp51,1.251100987996323965e+00
wp8_wp52,1.256335461002890952e+00
wp8_wp53,1.270223585997882765e+00
wp8_wp54,1.253040281997527927e+00
wp8_wp55,1.244900699995923787e+00
wp8_wp56,1.255467055001645349e+00
wp8_wp57,1.251181116000225302e+00
wp8_wp58,1.253318191993457731e+00
wp9_wp1,1.253900013995007612e+00
wp9_wp2,1.243765117003931664e+00
wp9_wp3,1.242154598003253341e+00
wp9_wp4,1.247946053001214750e+00
wp9_wp5,1.252434430003631860e+00
wp9_wp6,1.244478873006301001e+00
wp9_wp7,1.239447528001619503e+00
wp9_wp8,1.241270906000863761e+00
wp9_wp10,1.237311740005679894e+00
wp9_wp11,1.255413020000560209e+00
wp9_wp12,1.304784223997558001e+00
wp9_wp13,1.249539304000791162e+00
wp9_wp14,1.276510062998568173e+00
wp9_wp15,1.247731668998312671e+00
wp9_wp16,1.262831237996579148e+00
wp9_wp17,1.260519356001168489e+00
wp9_wp18,1.328157992000342347e+00
wp9_wp19,1.271274967999488581e+00
wp9_wp21,1.261762566005927511e+00
wp9_wp22,1.262988996000785846e+00
wp9_wp23,1.329398884001420811e+00
wp9_wp24,1.263796277002256829e+00
wp9_wp25,1.268707415001699701e+00
wp9_wp26,1.251209024005220272e+00
wp9_wp27,1.276355820999015123e+00
wp9_wp28,1.261010621004970744e+00
wp9_wp29,1.255336005000572186e+00
wp9_wp30,1.265429221995873377e+00
wp9_wp31,1.247569857005146332e+00
wp9_wp32,1.247300097995321266e+00
wp9_wp33,1.242811809999693651e+00
wp9_wp34,1.244722500996431336e+00
wp9_wp35,1.238201790998573415e+00
wp9_wp36,1.249129992000234779e+00
wp9_wp37,1.243724496998765972e+00
wp9_wp38,1.252923100000771228e+00
wp9_wp39,1.265400501004478429e+00
wp9_wp40,1.255012481000449043e+00
wp9_wp42,1.277583464994677342e+00
wp9_wp43,1.256929868999577593e+00
wp9_wp44,1.245320233996608295e+00
wp9_wp45,1.282712959997297730e+00
wp9_wp46,1.255868827000085730e+00
wp9_wp47,1.249359990004450083e+00
wp9_wp48,1.246016185999906156e+00
wp9_wp49,1.248313281001173891e+00
wp9_wp50,1.261620885001320858e+00
wp9_wp51,1.245557420996192377e+00
wp9_wp52,1.246999467002751771e+00
wp9_wp53,1.270214734999171924e+00
wp9_wp54,1.304593948996625841e+00
wp9_wp55,1.261104832999990322e+00
wp9_wp56,1.261075873000663705e+00
wp9_wp57,1.260780335003801156e+00
wp9_wp58,1.346913287998177111e+00
wp10_wp1,1.267458965005062055e+00
wp10_wp2,1.266159478000190575e+00
wp10_wp3,1.308924787001160439e+00
wp10_wp4,1.271346476001781411e+00
wp10_wp5,1.306702287001826335e+00
wp10_wp6,1.317123767003067769e+00
wp10_wp7,1.395466807996854186e+00
wp10_wp8,1.328450467000948265e+00
wp10_wp9,1.456209286996454466e+00
